date,day,admissions,discharges,occupied_beds,bed_capacity,occupancy_rate
2022-07-01,Friday,25,21,108,100,108.0
2022-07-02,Saturday,22,30,100,100,100.0
2022-07-03,Sunday,22,11,111,100,111.0
2022-07-04,Monday,31,18,124,100,124.0
2022-07-05,Tuesday,27,21,130,100,130.0
2022-07-06,Wednesday,38,17,151,100,151.0
2022-07-07,Thursday,32,37,146,100,146.0
2022-07-08,Friday,30,20,156,100,156.0
2022-07-09,Saturday,25,34,147,100,147.0
2022-07-10,Sunday,23,34,136,100,136.0
2022-07-11,Monday,32,25,143,100,143.0
2022-07-12,Tuesday,31,28,146,100,146.0
2022-07-13,Wednesday,34,31,149,100,149.0
2022-07-14,Thursday,24,30,143,100,143.0
2022-07-15,Friday,35,32,146,100,146.0
2022-07-16,Saturday,20,31,135,100,135.0
2022-07-17,Sunday,29,22,142,100,142.0
2022-07-18,Monday,20,32,130,100,130.0
2022-07-19,Tuesday,23,24,129,100,129.0
2022-07-20,Wednesday,18,27,120,100,120.0
2022-07-21,Thursday,26,35,111,100,111.0
2022-07-22,Friday,33,22,122,100,122.0
2022-07-23,Saturday,22,23,121,100,121.0
2022-07-24,Sunday,32,34,119,100,119.0
2022-07-25,Monday,23,14,128,100,128.0
2022-07-26,Tuesday,18,15,131,100,131.0
2022-07-27,Wednesday,29,28,132,100,132.0
2022-07-28,Thursday,31,26,137,100,137.0
2022-07-29,Friday,16,25,128,100,128.0
2022-07-30,Saturday,31,29,130,100,130.0
2022-07-31,Sunday,19,26,123,100,123.0
2022-08-01,Monday,26,17,132,100,132.0
2022-08-02,Tuesday,26,27,131,100,131.0
2022-08-03,Wednesday,20,21,130,100,130.0
2022-08-04,Thursday,32,33,129,100,129.0
2022-08-05,Friday,24,21,132,100,132.0
2022-08-06,Saturday,28,20,140,100,140.0
2022-08-07,Sunday,29,24,145,100,145.0
2022-08-08,Monday,27,27,145,100,145.0
2022-08-09,Tuesday,41,39,147,100,147.0
2022-08-10,Wednesday,26,30,143,100,143.0
2022-08-11,Thursday,20,31,132,100,132.0
2022-08-12,Friday,41,14,159,100,159.0
2022-08-13,Saturday,20,28,151,100,151.0
2022-08-14,Sunday,24,31,144,100,144.0
2022-08-15,Monday,19,29,134,100,134.0
2022-08-16,Tuesday,17,37,114,100,114.0
2022-08-17,Wednesday,21,23,112,100,112.0
2022-08-18,Thursday,18,13,117,100,117.0
2022-08-19,Friday,19,22,114,100,114.0
2022-08-20,Saturday,26,24,116,100,116.0
2022-08-21,Sunday,32,14,134,100,134.0
2022-08-22,Monday,22,20,136,100,136.0
2022-08-23,Tuesday,22,24,134,100,134.0
2022-08-24,Wednesday,25,14,145,100,145.0
2022-08-25,Thursday,25,28,142,100,142.0
2022-08-26,Friday,22,21,143,100,143.0
2022-08-27,Saturday,21,20,144,100,144.0
2022-08-28,Sunday,25,29,140,100,140.0
2022-08-29,Monday,22,17,145,100,145.0
2022-08-30,Tuesday,27,37,135,100,135.0
2022-08-31,Wednesday,32,21,146,100,146.0
2022-09-01,Thursday,29,16,159,100,159.0
2022-09-02,Friday,25,37,147,100,147.0
2022-09-03,Saturday,23,28,142,100,142.0
2022-09-04,Sunday,18,34,126,100,126.0
2022-09-05,Monday,20,17,129,100,129.0
2022-09-06,Tuesday,28,37,120,100,120.0
2022-09-07,Wednesday,27,23,124,100,124.0
2022-09-08,Thursday,23,22,125,100,125.0
2022-09-09,Friday,28,22,131,100,131.0
2022-09-10,Saturday,23,19,135,100,135.0
2022-09-11,Sunday,21,30,126,100,126.0
2022-09-12,Monday,19,28,117,100,117.0
2022-09-13,Tuesday,23,26,114,100,114.0
2022-09-14,Wednesday,31,21,124,100,124.0
2022-09-15,Thursday,25,31,118,100,118.0
2022-09-16,Friday,23,28,113,100,113.0
2022-09-17,Saturday,27,21,119,100,119.0
2022-09-18,Sunday,11,29,101,100,101.0
2022-09-19,Monday,22,24,99,100,99.0
2022-09-20,Tuesday,18,22,95,100,95.0
2022-09-21,Wednesday,23,17,101,100,101.0
2022-09-22,Thursday,14,14,101,100,101.0
2022-09-23,Friday,30,11,120,100,120.0
2022-09-24,Saturday,18,12,126,100,126.0
2022-09-25,Sunday,26,29,123,100,123.0
2022-09-26,Monday,24,13,134,100,134.0
2022-09-27,Tuesday,14,21,127,100,127.0
2022-09-28,Wednesday,11,23,115,100,115.0
2022-09-29,Thursday,29,15,129,100,129.0
2022-09-30,Friday,23,23,129,100,129.0
2022-10-01,Saturday,22,20,131,100,131.0
2022-10-02,Sunday,20,36,115,100,115.0
2022-10-03,Monday,29,15,129,100,129.0
2022-10-04,Tuesday,19,27,121,100,121.0
2022-10-05,Wednesday,19,15,125,100,125.0
2022-10-06,Thursday,30,24,131,100,131.0
2022-10-07,Friday,17,33,115,100,115.0
2022-10-08,Saturday,25,23,117,100,117.0
2022-10-09,Sunday,22,22,117,100,117.0
2022-10-10,Monday,26,37,106,100,106.0
2022-10-11,Tuesday,21,20,107,100,107.0
2022-10-12,Wednesday,14,17,104,100,104.0
2022-10-13,Thursday,22,24,102,100,102.0
2022-10-14,Friday,24,18,108,100,108.0
2022-10-15,Saturday,20,27,101,100,101.0
2022-10-16,Sunday,20,24,97,100,97.0
2022-10-17,Monday,22,20,99,100,99.0
2022-10-18,Tuesday,22,28,93,100,93.0
2022-10-19,Wednesday,16,16,93,100,93.0
2022-10-20,Thursday,20,20,93,100,93.0
2022-10-21,Friday,21,15,99,100,99.0
2022-10-22,Saturday,23,15,107,100,107.0
2022-10-23,Sunday,21,23,105,100,105.0
2022-10-24,Monday,27,17,115,100,115.0
2022-10-25,Tuesday,15,28,102,100,102.0
2022-10-26,Wednesday,20,20,102,100,102.0
2022-10-27,Thursday,15,15,102,100,102.0
2022-10-28,Friday,15,18,99,100,99.0
2022-10-29,Saturday,21,27,93,100,93.0
2022-10-30,Sunday,15,12,96,100,96.0
2022-10-31,Monday,23,25,94,100,94.0
2022-11-01,Tuesday,24,22,96,100,96.0
2022-11-02,Wednesday,21,13,104,100,104.0
2022-11-03,Thursday,36,10,130,100,130.0
2022-11-04,Friday,13,36,107,100,107.0
2022-11-05,Saturday,28,28,107,100,107.0
2022-11-06,Sunday,25,20,112,100,112.0
2022-11-07,Monday,22,14,120,100,120.0
2022-11-08,Tuesday,23,25,118,100,118.0
2022-11-09,Wednesday,11,16,113,100,113.0
2022-11-10,Thursday,26,27,112,100,112.0
2022-11-11,Friday,29,24,117,100,117.0
2022-11-12,Saturday,18,15,120,100,120.0
2022-11-13,Sunday,16,32,104,100,104.0
2022-11-14,Monday,10,13,101,100,101.0
2022-11-15,Tuesday,34,20,115,100,115.0
2022-11-16,Wednesday,18,12,121,100,121.0
2022-11-17,Thursday,25,35,111,100,111.0
2022-11-18,Friday,24,23,112,100,112.0
2022-11-19,Saturday,21,22,111,100,111.0
2022-11-20,Sunday,23,21,113,100,113.0
2022-11-21,Monday,16,27,102,100,102.0
